Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Hatchback Cars;202255;3415360;0.6304706982543641;0.4378666666666667;97
Hats;101294;1965059;0.3157543640897756;0.251930641025641;87
Headphones & speakers;107877;2525607;0.33627493765586036;0.32379576923076925;67
Health;214440;5403387;0.6684538653366584;0.6927419230769231;75
Health Insurance;1284;26568;0.004002493765586035;0.003406153846153846;46
Healthy Food;146937;4043857;0.458033042394015;0.5184432051282051;38
High buying power;139297;2866173;0.43421758104738156;0.3674580769230769;88
Hip Hop Fashion;15056;405152;0.04693266832917706;0.0519425641025641;12
Historical movies;10291;290619;0.032079177057356606;0.037258846153846156;7
History;195850;4069073;0.6105049875311721;0.5216760256410257;90
Hockey;32095;699378;0.10004675810473815;0.08966384615384615;54
Holiday;218932;5123881;0.6824563591022443;0.6569078205128205;84
Home appliances;236959;6453218;0.7386502493765587;0.827335641025641;62
Honor living & dead;229063;6383527;0.714036783042394;0.8184008974358974;54
Horror;68313;1867884;0.21294576059850373;0.23947230769230768;22
Horror Games;5769;138358;0.017983167082294263;0.017738205128205127;26
Hotels;226203;5719979;0.7051215710723192;0.733330641025641;76
House;239068;5620755;0.7452244389027431;0.7206096153846154;86
Household  products;93176;2115202;0.2904488778054863;0.2711797435897436;68
Humor;150011;4186673;0.46761533665835414;0.5367529487179488;36
Hunting and fishing;96525;2117670;0.3008884039900249;0.27149615384615383;74
Hygiene;56246;1230324;0.17533042394014964;0.15773384615384614;63
Independent movies;23812;628176;0.07422693266832918;0.08053538461538462;17
Industries;11407;391282;0.035557980049875315;0.050164358974358975;1
Innovation;221518;4402010;0.6905174563591022;0.5643602564102564;95
Instant messaging;56936;1298213;0.17748129675810473;0.1664375641025641;56
Insurance;3275;65249;0.010208852867830425;0.00836525641025641;56
Intergovernmental Organization;130894;2775091;0.4080236907730673;0.3557808974358974;82
Investment;224439;4534172;0.6996228179551122;0.5813041025641026;94
Italy;4811;114642;0.014996882793017457;0.014697692307692307;27
JRPG;5458;137124;0.01701371571072319;0.01758;19
Jazz Music;62057;1823093;0.19344451371571073;0.23372987179487179;9
Jewelry;214547;5617103;0.6687874064837905;0.7201414102564102;68
Job and Market Labour;193023;3937740;0.6016926433915212;0.5048384615384616;91
Justice & Law;125779;2719650;0.3920791770573566;0.3486730769230769;80
Large enterprises (500+ employees);32114;840834;0.10010598503740649;0.10779923076923077;21
Latin music;34516;1060633;0.10759351620947631;0.13597858974358976;4
Leasing;64486;1124272;0.20101620947630922;0.14413743589743588;89
Left-wing politics;62543;1278455;0.19495947630922694;0.1639044871794872;75
Life moments;142462;3666890;0.44408354114713217;0.4701141025641026;57
Life relationship;228660;5954436;0.7127805486284289;0.7633892307692308;71
Lingerie;90949;2780064;0.2835068578553616;0.3564184615384615;8
Liquors & spirits;65148;1472886;0.20307980049875313;0.18883153846153847;60
Literature;71307;1711992;0.2222786783042394;0.21948615384615386;49
Lottery;59289;1393764;0.18481608478802994;0.1786876923076923;50
Low-calorie;21618;535755;0.06738778054862843;0.06868653846153847;27
Luxury clothing;154760;4566609;0.48241895261845386;0.5854626923076923;23
Luxury goods;246037;5895035;0.7669482543640898;0.755773717948718;84
Luxury watches;140727;3319624;0.438675187032419;0.4255928205128205;73
MPV Cars;52045;852201;0.1622350374064838;0.10925653846153846;90
Magazine;225163;5604410;0.7018796758104738;0.7185141025641025;78
Make-up;44634;1552081;0.13913341645885285;0.19898474358974358;1
Management;202148;4124659;0.630137157107232;0.5288024358974359;92
Manga;58013;1732873;0.18083852867830424;0.22216320512820512;7
Marvel;32991;936891;0.10283977556109726;0.12011423076923076;9
Masters / Icons;39392;1075036;0.12279301745635911;0.1378251282051282;16
Material;3827;65798;0.011929551122194513;0.008435641025641026;75
Meat;137225;3391159;0.42775872817955113;0.43476397435897435;64
Media Types;224780;5494648;0.7006857855361596;0.7044420512820513;79
Medical Education;19290;433759;0.060130922693266836;0.05561012820512821;41
Medicine/Diseases;26856;712506;0.08371571072319202;0.09134692307692308;17
Meditation;123555;3461957;0.38514650872817957;0.443840641025641;30
Medium enterprises (101-500 employees);1021;33610;0.003182668329177057;0.004308974358974359;1
Men's Shoes and Footwear;23272;690328;0.07254364089775561;0.08850358974358974;5
Men's clothing;95334;2499130;0.29717581047381547;0.32040128205128204;37
Metal music;70246;1946179;0.2189713216957606;0.24951012820512822;20
Microsoft;36282;735496;0.11309850374064838;0.09429435897435898;68
Milestone;142949;3234229;0.44560162094763095;0.41464474358974357;78
Milk and substitutes;9013;176419;0.028095386533665834;0.022617820512820512;61
Mobile and TV operators;51805;1058462;0.1614869077306733;0.1357002564102564;72
Mobile app;216917;5957174;0.676175187032419;0.7637402564102564;57
Mobility;250743;6042960;0.7816178304239402;0.7747384615384615;84
Money & Currency;109660;2135777;0.34183291770573565;0.2738175641025641;88
Money games;125626;2936971;0.3916022443890274;0.3765347435897436;71
MotoGP;91066;1907842;0.2838715710723192;0.24459512820512821;77
Motorcycles;68277;1453036;0.21283354114713218;0.18628666666666666;71
Motorcycles and scooters;270297;4726153;0.8425716957605985;0.6059170512820513;98
Movies;216347;5845753;0.6743983790523691;0.7494555128205128;61
Museum;123799;3245626;0.3859071072319202;0.41610589743589743;45
Music Instruments;93233;2476359;0.2906265586034913;0.3174819230769231;35
Music events;189880;4761077;0.5918952618453865;0.6103944871794872;72
Music magazine;4470;104244;0.013933915211970075;0.013364615384615385;30
Musical movies;15885;408532;0.049516832917705735;0.052375897435897434;19
Mythology;7511;215032;0.023413341645885287;0.02756820512820513;6
Nails;61877;2026604;0.19288341645885287;0.25982102564102566;2
National Political stakeholders;60873;1414569;0.18975374064837905;0.181355;53
