Criteria Name;Target Size;Benchmark Size;Target Penetration;Benchmark Penetration;Score
Arc’teryx;8901;210214;0.027746259351620946;0.02695051282051282;49
Argentinian soccer players;1796;41381;0.005598503740648379;0.00530525641025641;50
Ariana Grande;12053;346543;0.0375716957605985;0.04442858974358974;18
Ariat;940;23801;0.0029301745635910226;0.0030514102564102564;0
Ariel (detergent);1021;20317;0.003182668329177057;0.0026047435897435895;73
Armani;40821;1113338;0.12724750623441397;0.142735641025641;33
Armin van Buuren;15019;476066;0.04681733167082294;0.06103410256410256;9
Arrow (TV series);2059;44877;0.006418329177057357;0.005753461538461539;60
Arsenal F.C.;19140;466674;0.059663341645885284;0.05983;47
Art & Interior Design;15059;375353;0.04694201995012469;0.048122179487179485;41
Art Basel;6730;185034;0.020978802992518704;0.023722307692307692;23
Art Collecting;1213;56587;0.0037811720698254364;0.00725474358974359;0
Art Deco;13022;329518;0.04059226932668329;0.042245897435897434;38
Art auction;7864;200473;0.02451371571072319;0.025701666666666668;35
Art exhibition;77172;2164208;0.24056109725685784;0.2774625641025641;37
Art film (movies & television);39470;1118154;0.12303615960099751;0.14335307692307692;26
Art jewelry;34937;993356;0.10890586034912718;0.12735333333333335;24
Art museum;70618;1873720;0.22013092269326684;0.24022051282051282;48
ArtSkills;14051;295062;0.0437998753117207;0.03782846153846154;71
Arte;9281;238383;0.028930798004987532;0.030561923076923077;34
Artificial intelligence;95210;2292412;0.29678927680798006;0.2938989743589744;76
Artificial nails;24707;914728;0.07701683291770574;0.11727282051282051;2
Artistic gymnastics;4091;120611;0.012752493765586036;0.015462948717948719;14
Arts and music;230532;6821687;0.7186159600997506;0.8745752564102565;55
Asda;4788;209377;0.014925187032418952;0.02684320512820513;1
Ashley Furniture Industries (retailer);2140;51272;0.006670822942643391;0.006573333333333333;43
Asia;32018;777678;0.0998067331670823;0.09970230769230769;53
Asian cuisine;13070;357154;0.040741895261845386;0.04578897435897436;25
Assassin's Creed;9672;211605;0.030149625935162096;0.027128846153846153;63
Asset management;46097;944866;0.1436938902743142;0.12113666666666667;83
Assisi Pet Care;10193;184193;0.03177369077306733;0.02361448717948718;85
Association football (Soccer);121728;3443941;0.37945137157107234;0.44153089743589746;46
Aston Martin;130567;2276530;0.4070043640897756;0.29186282051282053;98
Aston Villa F.C.;4262;93448;0.013285536159600998;0.011980512820512821;60
Astrology;31305;937123;0.09758416458852869;0.12014397435897436;16
Astronomy (science);21368;578505;0.06660847880299252;0.0741673076923077;29
Asus;12766;266309;0.03979426433915212;0.034142179487179486;72
Atari;1054;23863;0.0032855361596009977;0.0030593589743589744;52
Athletic Bilbao;1443;36778;0.004498129675810474;0.004715128205128205;32
Atlanta Hawks (basketball team);1030;29848;0.0032107231920199502;0.0038266666666666666;15
Atlantic Blowers;34304;565285;0.10693266832917706;0.07247243589743589;95
Atlético Madrid;8675;190243;0.027041770573566083;0.024390128205128207;62
Atrium;3414;55761;0.01064214463840399;0.007148846153846154;91
Attack on Titan;2269;80363;0.007072942643391521;0.010302948717948717;3
Auchan;7643;195148;0.023824812967581047;0.02501897435897436;35
Auction;89370;1819349;0.2785847880299252;0.2332498717948718;91
Audemars Piguet;45544;1001151;0.14197007481296758;0.1283526923076923;76
Audi;320900;967800;1.0003117206982544;0.12407692307692307;100
Audi A1;39930;674122;0.12447007481296758;0.08642589743589743;95
Audi A3;63752;1054390;0.1987281795511222;0.13517820512820514;97
Audi A4;49410;814305;0.1540211970074813;0.10439807692307693;96
Audi A5;41901;698045;0.1306140897755611;0.08949294871794872;96
Audi A6;45023;751530;0.14034600997506236;0.09635;96
Audi A7;34995;584981;0.10908665835411471;0.0749975641025641;95
Audi A8;32337;541188;0.10080112219451372;0.06938307692307692;95
Audi Q3;62773;1062895;0.19567643391521197;0.13626858974358974;96
Audi Q5;53363;897659;0.16634351620947632;0.11508448717948717;96
Audi Q7 (vehicle);48561;827214;0.15137468827930176;0.10605307692307692;96
Audi R8;43130;734176;0.13444513715710724;0.09412512820512821;95
